Nome Completo,Data de Nascimento,Gênero,Bairro,Telefone,Membro Ativo,Data de Cadastro
Adriana Freitas,10/10/1998,Feminino,Novo Horizonte,(82) 94241-7965,Sim,24/10/2025
Giovanna Lima,28/04/1967,Feminino,São José,(82) 93330-2169,Sim,01/08/2025
Lurdes Braga,09/05/2009,Feminino,Vila Nova,(82) 93037-8679,Sim,25/06/2024
Sansão Lacerda,26/08/2004,Masculino,Jardim Tropical,(82) 99090-8172,Sim,02/05/2026
Valentina Cardoso,18/10/2011,Feminino,São Francisco,(82) 91423-2496,Sim,21/07/2024
Maria Madalena,09/10/1948,Feminino,Pindorama,(82) 95415-1659,Sim,14/12/2025
Zelfa Gomes,27/07/1976,Feminino,Palmeira,(82) 95557-3973,Não,22/03/2025
Luana Batista,28/01/1981,Feminino,Vila Nova,(82) 96700-7690,Sim,25/07/2024
Benjamim Cruz,30/05/2019,Masculino,Esperança,(82) 99117-5722,Sim,27/04/2025
Berenice Torres,31/12/1978,Feminino,Vila Nova,(82) 92442-6153,Sim,13/02/2026
Maria Madalena,02/09/2015,Feminino,São José,(82) 91018-9889,Sim,17/04/2026
Ananias Sousa,27/10/1955,Masculino,Frei Damião,(82) 99167-8242,Sim,15/11/2025
Vinícius Macedo,09/05/2006,Masculino,Vila Nova,(82) 98941-2989,Sim,04/09/2024
Joabe Moura,04/03/1989,Feminino,São Francisco,(82) 91224-7684,Sim,15/02/2026
Zilda Farias,09/11/1993,Feminino,São José,(82) 93522-9165,Não,17/08/2025
Mariana Cunha,13/07/1958,Feminino,São José,(82) 98905-8736,Sim,24/11/2024
Oswaldo Sampaio,15/10/1960,Masculino,Jardim Tropical,(82) 93236-2143,Sim,13/04/2025
Edilson Tavares,28/04/2009,Masculino,São José,(82) 91042-5634,Sim,18/10/2024
Neuza Patriota,20/08/1975,Feminino,São José,(82) 93434-8316,Sim,23/06/2025
Timóteo Leal,17/09/1972,Masculino,Esperança,(82) 98460-6272,Sim,27/06/2024
Adilson Neto,11/04/1984,Masculino,São José,(82) 97730-1715,Sim,12/02/2025
Ana Clara,28/06/2015,Feminino,Novo Horizonte,(82) 93492-9115,Não,02/02/2026
Tatiane Ribeiro,31/05/1978,Feminino,São José,(82) 92644-8213,Sim,01/03/2025
